Exchange,Token,LotSize,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
BFO,1131898,2425,ZOMAOPT,ETERNAL26JUN280PE,25-JUN-2026,OPTSTK,PE,280,0.05,
BFO,1131146,2425,ZOMAOPT,ETERNAL26JUN277.5PE,25-JUN-2026,OPTSTK,PE,277.5,0.05,
BFO,1103546,2425,ZOMAOPT,ETERNAL26JUN275PE,25-JUN-2026,OPTSTK,PE,275,0.05,
BFO,1130452,2425,ZOMAOPT,ETERNAL26JUN272.5PE,25-JUN-2026,OPTSTK,PE,272.5,0.05,
BFO,1103125,2425,ZOMAOPT,ETERNAL26JUN270PE,25-JUN-2026,OPTSTK,PE,270,0.05,
BFO,1127901,2425,ZOMAOPT,ETERNAL26JUN267.5PE,25-JUN-2026,OPTSTK,PE,267.5,0.05,
BFO,1106617,2425,ZOMAOPT,ETERNAL26JUN265PE,25-JUN-2026,OPTSTK,PE,265,0.05,
BFO,1126849,2425,ZOMAOPT,ETERNAL26JUN262.5PE,25-JUN-2026,OPTSTK,PE,262.5,0.05,
BFO,1106276,2425,ZOMAOPT,ETERNAL26JUN260PE,25-JUN-2026,OPTSTK,PE,260,0.05,
BFO,1125107,2425,ZOMAOPT,ETERNAL26JUN257.5PE,25-JUN-2026,OPTSTK,PE,257.5,0.05,
BFO,1102222,2425,ZOMAOPT,ETERNAL26JUN255PE,25-JUN-2026,OPTSTK,PE,255,0.05,
BFO,1122110,2425,ZOMAOPT,ETERNAL26JUN252.5PE,25-JUN-2026,OPTSTK,PE,252.5,0.05,
BFO,1113182,2425,ZOMAOPT,ETERNAL26JUN250PE,25-JUN-2026,OPTSTK,PE,250,0.05,
BFO,1121271,2425,ZOMAOPT,ETERNAL26JUN247.5PE,25-JUN-2026,OPTSTK,PE,247.5,0.05,
BFO,1105328,2425,ZOMAOPT,ETERNAL26JUN245PE,25-JUN-2026,OPTSTK,PE,245,0.05,
BFO,1121168,2425,ZOMAOPT,ETERNAL26JUN242.5PE,25-JUN-2026,OPTSTK,PE,242.5,0.05,
BFO,1104813,2425,ZOMAOPT,ETERNAL26JUN240PE,25-JUN-2026,OPTSTK,PE,240,0.05,
BFO,1118178,2425,ZOMAOPT,ETERNAL26JUN237.5PE,25-JUN-2026,OPTSTK,PE,237.5,0.05,
BFO,1108270,2425,ZOMAOPT,ETERNAL26JUN235PE,25-JUN-2026,OPTSTK,PE,235,0.05,
BFO,1117969,2425,ZOMAOPT,ETERNAL26JUN232.5PE,25-JUN-2026,OPTSTK,PE,232.5,0.05,
BFO,1108070,2425,ZOMAOPT,ETERNAL26JUN230PE,25-JUN-2026,OPTSTK,PE,230,0.05,
BFO,1119120,2425,ZOMAOPT,ETERNAL26JUN227.5PE,25-JUN-2026,OPTSTK,PE,227.5,0.05,
BFO,1109871,2425,ZOMAOPT,ETERNAL26JUN225PE,25-JUN-2026,OPTSTK,PE,225,0.05,
BFO,1119016,2425,ZOMAOPT,ETERNAL26JUN222.5PE,25-JUN-2026,OPTSTK,PE,222.5,0.05,
BFO,1109672,2425,ZOMAOPT,ETERNAL26JUN220PE,25-JUN-2026,OPTSTK,PE,220,0.05,
BFO,1120119,2425,ZOMAOPT,ETERNAL26JUN217.5PE,25-JUN-2026,OPTSTK,PE,217.5,0.05,
BFO,1112735,2425,ZOMAOPT,ETERNAL26JUN215PE,25-JUN-2026,OPTSTK,PE,215,0.05,
BFO,1120016,2425,ZOMAOPT,ETERNAL26JUN212.5PE,25-JUN-2026,OPTSTK,PE,212.5,0.05,
BFO,1112303,2425,ZOMAOPT,ETERNAL26JUN210PE,25-JUN-2026,OPTSTK,PE,210,0.05,
